,path,CH_0,CH_1,CH_2,CH_3,CH_4,CH_5
0,A->B,1,1,1,1,1,1
1,A->C->E->F->B,1,1,1,1,1,1
2,A->C->E->D->B,1,1,1,1,1,1
3,A->C->E->G->D->B,1,1,1,1,1,1
4,A->C->G->D->B,1,1,1,1,1,1
5,A->C->G->D->E->F->B,1,1,1,1,1,1
6,A->C->G->E->F->B,1,1,1,1,1,1
7,A->C->G->E->D->B,1,1,1,1,1,1
8,A->C->F->B,1,1,1,1,1,1
9,A->C->F->E->D->B,1,1,1,1,1,1
10,A->C->F->E->G->D->B,1,1,1,1,1,1
11,A->E->C->G->D->B,1,1,1,1,1,1
12,A->E->C->F->B,1,1,1,1,1,1
13,A->E->F->B,1,1,1,1,1,1
14,A->E->F->C->G->D->B,1,1,1,1,1,1
15,A->E->D->B,1,1,1,1,1,1
16,A->E->D->G->C->F->B,1,1,1,1,1,1
17,A->E->G->C->F->B,1,1,1,1,1,1
18,A->E->G->D->B,1,1,1,1,1,1
19,A->D->B,1,1,1,1,1,1
20,A->D->E->C->F->B,1,1,1,1,1,1
21,A->D->E->F->B,1,1,1,1,1,1
22,A->D->E->G->C->F->B,1,1,1,1,1,1
23,A->D->G->C->E->F->B,1,1,1,1,1,1
24,A->D->G->C->F->B,1,1,1,1,1,1
25,A->D->G->E->C->F->B,1,1,1,1,1,1
26,A->D->G->E->F->B,1,1,1,1,1,1
27,A->F->B,1,1,1,1,1,1
28,A->F->C->E->D->B,1,1,1,1,1,1
29,A->F->C->E->G->D->B,1,1,1,1,1,1
30,A->F->C->G->D->B,1,1,1,1,1,1
31,A->F->C->G->E->D->B,1,1,1,1,1,1
32,A->F->E->C->G->D->B,1,1,1,1,1,1
33,A->F->E->D->B,1,1,1,1,1,1
34,A->F->E->G->D->B,1,1,1,1,1,1
35,A->B->D->E->C,1,1,1,1,1,1
36,A->B->D->E->F->C,1,1,1,1,1,1
37,A->B->D->E->G->C,1,1,1,1,1,1
38,A->B->D->G->C,1,1,1,1,1,1
39,A->B->D->G->E->C,1,1,1,1,1,1
40,A->B->D->G->E->F->C,1,1,1,1,1,1
41,A->B->F->C,1,1,1,1,1,1
42,A->B->F->E->C,1,1,1,1,1,1
43,A->B->F->E->D->G->C,1,1,1,1,1,1
44,A->B->F->E->G->C,1,1,1,1,1,1
45,A->C,1,1,1,1,1,1
46,A->E->C,1,1,1,1,1,1
47,A->E->F->B->D->G->C,1,1,1,1,1,1
48,A->E->F->C,1,1,1,1,1,1
49,A->E->D->B->F->C,1,1,1,1,1,1
50,A->E->D->G->C,1,1,1,1,1,1
51,A->E->G->C,1,1,1,1,1,1
52,A->E->G->D->B->F->C,1,1,1,1,1,1
53,A->D->B->F->C,1,1,1,1,1,1
54,A->D->B->F->E->C,1,1,1,1,1,1
55,A->D->B->F->E->G->C,1,1,1,1,1,1
56,A->D->E->C,1,1,1,1,1,1
57,A->D->E->F->C,1,1,1,1,1,1
58,A->D->E->G->C,1,1,1,1,1,1
59,A->D->G->C,1,1,1,1,1,1
60,A->D->G->E->C,1,1,1,1,1,1
61,A->D->G->E->F->C,1,1,1,1,1,1
62,A->F->B->D->E->C,1,1,1,1,1,1
63,A->F->B->D->E->G->C,1,1,1,1,1,1
64,A->F->B->D->G->C,1,1,1,1,1,1
65,A->F->B->D->G->E->C,1,1,1,1,1,1
66,A->F->C,1,1,1,1,1,1
67,A->F->E->C,1,1,1,1,1,1
68,A->F->E->D->G->C,1,1,1,1,1,1
69,A->F->E->G->C,1,1,1,1,1,1
70,A->B->D,1,1,1,1,1,1
71,A->B->F->C->E->D,1,1,1,1,1,1
72,A->B->F->C->E->G->D,1,1,1,1,1,1
73,A->B->F->C->G->D,1,1,1,1,1,1
74,A->B->F->C->G->E->D,1,1,1,1,1,1
75,A->B->F->E->C->G->D,1,1,1,1,1,1
76,A->B->F->E->D,1,1,1,1,1,1
77,A->B->F->E->G->D,1,1,1,1,1,1
78,A->C->E->F->B->D,1,1,1,1,1,1
79,A->C->E->D,1,1,1,1,1,1
80,A->C->E->G->D,1,1,1,1,1,1
81,A->C->G->D,1,1,1,1,1,1
82,A->C->G->E->F->B->D,1,1,1,1,1,1
83,A->C->G->E->D,1,1,1,1,1,1
84,A->C->F->B->D,1,1,1,1,1,1
85,A->C->F->E->D,1,1,1,1,1,1
86,A->C->F->E->G->D,1,1,1,1,1,1
87,A->E->C->G->D,1,1,1,1,1,1
88,A->E->C->F->B->D,1,1,1,1,1,1
89,A->E->F->B->D,1,1,1,1,1,1
